example_id                                                            | status  | run_time        |
./spec/models/ability_spec.rb[1:2:1:3]                                | passed  | 0.01633 seconds |
./spec/models/ability_spec.rb[1:2:1:4]                                | passed  | 0.01165 seconds |
./spec/models/ability_spec.rb[1:2:1:5]                                | passed  | 0.01456 seconds |
./spec/models/ability_spec.rb[1:2:1:6]                                | passed  | 0.01591 seconds |
./spec/models/ability_spec.rb[1:2:1:7]                                | passed  | 0.01658 seconds |
./spec/models/ability_spec.rb[1:2:2:1]                                | passed  | 0.01532 seconds |
./spec/models/ability_spec.rb[1:2:2:2]                                | passed  | 0.02866 seconds |
./spec/models/ability_spec.rb[1:2:2:3]                                | passed  | 0.01565 seconds |
./spec/models/ability_spec.rb[1:2:2:4]                                | passed  | 0.01641 seconds |
./spec/models/ability_spec.rb[1:2:2:5]                                | passed  | 0.01801 seconds |
./spec/models/ability_spec.rb[1:2:2:6]                                | passed  | 0.01671 seconds |
./spec/models/ability_spec.rb[1:2:2:7]                                | passed  | 0.01629 seconds |
./spec/models/ability_spec.rb[1:2:2:8]                                | passed  | 0.01612 seconds |
./spec/models/ability_spec.rb[1:2:3:1]                                | passed  | 0.02843 seconds |
./spec/models/ability_spec.rb[1:2:3:2]                                | passed  | 0.01712 seconds |
./spec/models/ability_spec.rb[1:2:3:3]                                | passed  | 0.01751 seconds |
./spec/models/ability_spec.rb[1:2:3:4]                                | passed  | 0.01641 seconds |
./spec/models/ability_spec.rb[1:2:3:5]                                | passed  | 0.01696 seconds |
./spec/models/ability_spec.rb[1:3:1:1]                                | passed  | 0.00635 seconds |
./spec/models/ability_spec.rb[1:3:2:1]                                | passed  | 0.02658 seconds |
./spec/models/application_record_spec.rb[1:1:1]                       | passed  | 0.00276 seconds |
./spec/models/application_record_spec.rb[1:1:2]                       | passed  | 0.00196 seconds |
./spec/models/client_profile_spec.rb[1:1:1]                           | passed  | 0.0096 seconds  |
./spec/models/client_profile_spec.rb[1:2:1]                           | passed  | 0.01563 seconds |
./spec/models/client_profile_spec.rb[1:2:2]                           | passed  | 0.01467 seconds |
./spec/models/client_profile_spec.rb[1:2:3]                           | passed  | 0.03555 seconds |
./spec/models/client_profile_spec.rb[1:2:4]                           | passed  | 0.00964 seconds |
./spec/models/client_profile_spec.rb[1:2:5]                           | passed  | 0.01047 seconds |
./spec/models/client_profile_spec.rb[1:2:6:1]                         | passed  | 0.04204 seconds |
./spec/models/client_profile_spec.rb[1:2:6:2]                         | passed  | 0.03175 seconds |
./spec/models/client_profile_spec.rb[1:2:6:3]                         | passed  | 0.02247 seconds |
./spec/models/client_profile_spec.rb[1:3:1]                           | passed  | 0.0024 seconds  |
./spec/models/client_profile_spec.rb[1:4:1:1]                         | passed  | 0.07201 seconds |
./spec/models/client_profile_spec.rb[1:4:2:1]                         | passed  | 0.06363 seconds |
./spec/models/client_profile_spec.rb[1:4:3:1]                         | passed  | 0.06127 seconds |
./spec/models/client_profile_spec.rb[1:5:1]                           | passed  | 0.02802 seconds |
./spec/models/client_profile_spec.rb[1:5:2]                           | passed  | 0.0234 seconds  |
./spec/models/client_profile_spec.rb[1:6:1]                           | passed  | 0.0311 seconds  |
./spec/models/client_profile_spec.rb[1:6:2]                           | passed  | 0.02177 seconds |
./spec/models/client_profile_spec.rb[1:7:1]                           | passed  | 0.04208 seconds |
./spec/models/client_profile_spec.rb[1:7:2]                           | passed  | 0.05121 seconds |
./spec/models/client_profile_spec.rb[1:8:1:1]                         | passed  | 0.01696 seconds |
./spec/models/client_profile_spec.rb[1:8:1:2]                         | passed  | 0.01614 seconds |
./spec/models/client_profile_spec.rb[1:8:2:1]                         | passed  | 0.02021 seconds |
